,AGG,DBC,DFE,DIA,DXJ,EEM,EFA,EWG,EWH,EWI,EWT,EWU,EWW,EWY,EWZ,EZU,FEZ,FXI,GDX,GLD,IAU,IBB,ITB,IVV,IWD,IWM,IYR,KBE,KRE,LQD,OIL,SDS,SH,SLV,SPY,USO,VGK,VNQ,VTI,VWO,XHB,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XME,XOP,USDOLLAR
2007-01-17,99.740,22.850,65.940,125.750,54.760,37.240,73.050,26.880,16.590,32.940,14.510,46.940,50.700,47.620,44.980,51.250,53.500,35.380,37.700,62.640,6.280,81.520,40.980,143.280,82.540,78.110,87.350,58.130,49.130,106.560,32.610,229.400,61.970,12.740,143.020,44.220,67.950,80.200,70.880,37.800,36.770,35.440,55.480,37.000,35.800,23.660,26.610,36.060,34.560,39.400,48.580,36.610,10021.806
2007-01-18,99.880,22.610,66.000,125.510,54.730,36.850,72.800,26.730,16.550,32.870,14.420,46.840,49.860,47.350,44.690,51.090,53.330,34.900,36.970,62.260,6.220,80.750,41.000,142.850,82.390,77.460,87.050,58.280,48.760,106.870,31.780,230.920,62.200,12.600,142.540,43.230,67.870,80.100,70.500,37.600,36.940,35.230,55.070,36.850,35.640,23.390,26.570,36.040,34.660,39.620,47.700,36.260,10023.806
2007-01-19,99.840,22.950,66.490,125.550,55.270,37.510,73.690,27.100,16.840,33.320,14.480,47.360,50.500,47.470,45.770,51.780,53.990,35.410,37.530,63.000,6.310,81.080,41.580,143.220,82.830,77.760,87.820,58.350,48.800,106.800,32.820,229.760,62.080,12.800,142.820,44.430,68.610,80.900,70.780,38.320,37.430,35.770,56.580,36.960,35.620,23.380,26.610,36.050,34.670,39.610,49.000,37.330,10025.815
2007-01-22,99.890,22.970,66.450,124.750,54.950,37.470,73.320,26.790,16.940,33.200,14.320,47.120,50.540,47.000,45.930,51.340,53.470,35.630,37.270,62.720,6.280,80.740,41.300,142.710,82.550,77.190,87.550,58.300,48.570,106.880,32.350,231.720,62.410,12.870,142.380,43.840,68.270,80.220,70.500,38.290,37.180,35.400,56.190,36.930,35.230,23.210,26.580,36.040,34.460,39.360,48.650,37.270,10027.820
2007-01-23,99.700,23.700,66.610,125.330,55.430,38.320,73.970,26.990,17.060,33.450,14.530,47.520,51.480,47.570,47.150,51.760,53.890,36.260,39.100,64.230,6.430,80.250,41.960,143.200,82.980,77.920,87.800,58.360,48.650,106.590,33.670,230.600,62.260,13.250,142.800,45.650,68.700,80.600,70.700,38.950,37.820,35.850,57.650,36.910,35.640,23.210,26.630,36.250,34.280,39.500,50.330,38.340,10029.829
2007-01-24,99.670,23.500,66.840,126.070,56.230,38.650,74.450,27.150,16.920,33.670,14.840,47.820,52.430,48.600,47.520,52.040,54.270,36.800,39.560,64.330,6.440,80.910,42.460,144.220,83.600,78.770,89.000,58.540,49.040,106.640,33.950,227.120,61.750,13.200,143.950,46.100,69.240,81.650,71.320,39.300,38.250,36.220,57.900,37.290,35.540,23.630,26.730,36.370,34.540,39.650,50.980,38.510,10031.835
2007-01-25,99.540,23.290,66.120,124.970,55.120,37.460,73.240,26.840,16.330,33.240,14.370,47.100,50.800,47.320,46.590,51.300,53.500,34.850,39.110,64.060,6.410,79.550,41.030,142.650,82.600,77.780,89.530,58.180,48.380,106.300,33.370,232.040,62.420,13.250,142.260,45.270,68.150,82.150,70.520,38.100,37.350,36.100,56.710,36.750,35.350,23.340,26.560,36.340,34.420,39.020,50.760,37.710,10033.846
2007-01-26,99.530,23.580,66.290,124.770,55.490,37.690,73.380,26.860,16.400,33.310,14.350,46.960,51.010,47.490,47.000,51.440,53.680,35.130,39.200,64.100,6.420,79.280,40.570,142.470,82.630,78.070,89.800,58.260,48.680,106.230,34.070,232.960,62.560,13.360,142.160,46.280,68.250,82.420,70.480,38.340,36.730,36.080,56.850,36.820,35.210,23.350,26.490,36.250,34.230,38.830,51.410,38.090,10035.853
2007-01-29,99.400,23.100,66.330,124.820,55.740,37.190,73.460,26.980,16.420,33.220,14.150,46.940,50.500,47.040,45.950,51.580,53.810,34.500,38.550,63.770,6.390,79.550,40.710,142.370,82.590,78.750,90.060,58.010,49.050,106.180,33.140,233.400,62.640,13.130,142.050,44.970,68.370,82.690,70.490,38.020,36.900,35.940,56.580,36.640,35.290,23.450,26.560,36.370,34.180,38.930,51.150,38.050,10037.864
2007-01-30,99.550,23.740,66.560,125.160,55.860,37.770,73.960,27.350,16.640,33.300,14.220,47.060,51.500,47.440,46.520,52.070,54.360,35.550,38.970,64.220,6.430,79.920,40.730,143.080,83.150,79.180,90.370,58.190,49.400,106.330,34.890,230.880,62.270,13.330,142.790,47.360,68.820,83.100,70.900,38.440,36.900,36.040,57.720,36.780,35.270,23.590,26.540,36.480,34.350,39.040,52.150,38.980,10039.871
2007-01-31,99.630,23.990,66.930,126.240,55.500,38.060,74.240,27.560,16.390,33.600,14.220,47.140,52.300,47.310,47.250,52.420,54.670,34.570,39.600,64.830,6.480,79.840,42.660,144.030,83.660,79.350,91.400,58.550,49.360,106.780,35.650,228.160,61.920,13.520,143.750,48.240,69.230,83.760,71.410,38.720,38.240,36.250,58.090,37.080,35.740,23.730,26.650,36.590,34.510,39.460,52.790,39.220,10041.875
2007-02-01,99.290,23.900,67.320,126.740,56.460,38.530,74.860,27.780,16.700,33.530,14.280,47.400,53.320,48.550,47.990,52.660,55.000,34.750,39.850,65.220,6.530,80.790,43.050,144.910,84.270,80.200,91.350,59.000,49.760,106.280,35.270,225.560,61.530,13.600,144.610,47.840,69.680,84.090,71.820,39.120,38.750,36.690,58.300,37.320,36.050,23.630,26.750,36.900,34.800,39.600,53.770,39.390,10043.884
2007-02-02,99.430,24.210,67.720,126.530,56.360,38.410,74.710,27.740,16.700,33.660,14.310,47.640,53.440,49.070,48.040,52.560,54.830,34.620,39.320,64.280,6.440,80.250,44.460,145.070,84.490,80.250,92.000,59.110,50.050,106.380,36.350,225.120,61.460,13.390,144.810,49.340,69.570,84.240,71.910,39.100,39.700,36.630,58.630,37.390,36.190,23.750,26.800,37.100,34.730,39.710,53.380,39.450,10045.896
2007-02-05,99.590,24.130,67.770,126.680,55.720,38.450,74.470,27.620,16.720,33.530,14.280,47.480,53.550,49.340,48.550,52.380,54.580,34.480,39.480,64.310,6.430,79.700,43.810,145.300,84.390,80.240,91.940,59.100,49.810,106.520,36.190,225.000,61.490,13.440,144.850,49.100,69.350,84.240,72.000,39.100,39.240,36.480,58.570,37.380,36.260,23.690,26.710,37.500,34.720,39.580,53.100,39.240,10047.914
2007-02-06,99.780,24.010,68.380,126.650,56.670,38.830,75.050,27.720,16.950,33.550,14.510,47.680,53.880,50.000,48.670,52.630,54.920,35.110,39.730,64.790,6.490,79.650,43.820,145.140,84.540,80.440,93.200,59.400,50.160,106.800,36.340,225.760,61.510,13.610,144.890,49.210,69.970,85.480,72.000,39.520,39.350,36.730,58.390,37.550,36.270,23.660,26.670,37.700,34.620,39.720,53.530,39.040,10049.927
2007-02-07,99.900,23.720,68.560,126.790,56.450,38.680,75.260,27.920,16.880,33.870,14.460,47.880,54.000,49.720,47.880,52.940,55.230,35.310,39.310,64.630,6.470,80.250,43.710,145.500,84.620,81.180,94.570,59.660,50.420,106.950,35.530,224.240,61.430,13.590,145.210,48.250,70.190,87.270,72.240,39.450,39.110,36.730,58.040,37.690,36.240,23.770,26.610,37.840,34.670,39.910,53.210,39.120,10051.945
2007-02-08,99.960,24.270,68.520,126.470,55.690,38.470,74.960,27.940,16.990,33.700,14.400,47.560,54.400,49.450,48.070,52.980,55.230,35.680,40.260,65.520,6.560,80.540,42.580,145.240,84.540,81.050,93.850,59.320,50.380,107.070,36.690,224.800,61.470,13.750,145.020,49.750,70.000,86.600,72.140,39.520,38.270,36.770,58.630,37.570,35.990,23.800,26.560,37.910,34.640,39.830,53.120,39.180,10053.968
2007-02-09,99.730,24.420,67.940,125.880,55.840,38.010,74.640,27.750,16.790,33.490,14.220,47.240,53.400,49.200,47.340,52.620,54.830,35.090,40.110,66.120,6.620,80.000,41.640,144.250,84.130,80.220,92.520,58.910,49.900,106.620,36.750,228.200,61.940,13.810,143.940,49.990,69.620,85.600,71.600,38.840,37.530,36.600,58.390,37.170,35.850,23.540,26.520,38.040,34.540,39.460,52.230,39.170,10055.987
2007-02-12,99.630,23.960,67.970,125.590,55.880,37.750,74.350,27.650,16.850,33.350,14.110,47.240,53.390,49.060,46.720,52.040,54.470,35.210,39.610,65.670,6.570,79.950,41.300,143.800,83.790,80.020,90.970,59.110,50.030,106.640,35.600,229.160,62.160,13.600,143.450,48.370,69.210,84.050,71.340,38.550,37.440,36.750,57.580,37.080,35.910,23.440,26.460,37.900,34.390,39.270,52.250,38.590,10058.014
2007-02-13,99.620,24.400,68.410,126.630,57.080,38.350,75.300,27.970,16.660,33.730,14.100,47.500,54.370,49.660,48.180,53.010,55.340,35.300,40.230,65.840,6.590,80.300,41.720,144.900,84.600,80.680,92.590,59.630,50.390,106.570,36.300,225.760,61.730,13.800,144.660,49.360,69.890,85.680,71.950,39.210,37.790,37.490,58.420,37.350,36.200,23.540,26.550,38.230,34.520,39.620,53.350,39.090,10060.038
2007-02-14,100.000,24.070,69.200,127.480,58.060,39.180,76.320,28.430,16.790,34.220,14.460,48.020,55.380,50.430,48.570,53.730,55.890,35.350,40.890,66.370,6.640,80.890,42.170,145.860,85.140,80.750,92.020,59.980,50.440,107.180,35.560,223.200,61.280,14.020,145.610,48.450,70.880,85.070,72.430,39.900,38.140,37.720,58.430,37.710,36.730,23.860,26.710,38.500,34.710,39.820,53.680,39.090,10062.058
2007-02-15,100.140,24.070,69.340,127.770,58.300,39.200,76.410,28.460,16.820,34.150,14.600,47.900,55.050,50.530,48.930,53.790,55.850,35.360,41.200,66.410,6.650,80.460,42.470,146.100,85.090,80.770,92.780,60.050,50.510,107.380,35.570,222.760,61.230,13.950,145.800,48.350,70.910,85.700,72.440,39.890,38.500,37.900,57.990,37.770,36.810,23.950,26.870,38.170,34.870,39.950,54.230,38.810,10064.082
2007-02-16,100.210,24.490,69.130,127.570,58.100,39.290,76.380,28.460,16.820,34.240,14.610,47.800,55.000,50.920,49.010,53.760,55.760,35.600,40.940,66.360,6.640,80.500,42.410,146.150,85.130,81.170,92.460,60.150,50.730,107.490,36.340,223.040,61.300,13.900,145.730,49.350,70.840,85.480,72.500,39.860,38.390,37.710,58.000,37.760,36.660,23.900,26.910,38.240,34.730,39.900,54.400,39.040,10066.111
2007-02-20,100.260,24.220,69.840,127.660,58.200,39.390,76.490,28.620,16.870,34.090,14.550,48.080,55.020,51.050,49.020,53.980,55.850,35.700,40.080,65.310,6.540,80.890,42.440,146.360,85.290,81.900,93.240,60.410,50.990,107.660,35.780,222.280,61.170,13.790,146.040,48.670,70.910,86.140,72.710,40.060,38.530,38.020,57.350,37.960,36.720,23.910,27.050,38.340,34.750,40.190,54.400,38.740,10068.144
2007-02-21,100.250,24.740,69.560,127.370,57.990,39.500,76.100,28.450,16.810,33.870,14.630,47.520,55.180,51.190,49.110,53.690,55.570,35.960,41.570,67.280,6.740,80.870,42.080,146.250,85.140,82.100,92.750,60.220,50.840,107.590,36.600,222.760,61.240,14.180,145.980,49.860,70.460,85.860,72.740,39.980,38.210,38.260,57.980,37.800,36.820,23.870,26.900,38.180,34.590,40.030,56.150,39.240,10070.174
2007-02-22,100.050,25.080,69.980,126.790,57.930,39.460,76.440,28.520,16.830,33.930,14.680,47.940,55.040,51.460,49.310,53.800,55.760,35.960,41.800,67.150,6.730,80.720,41.420,146.120,85.090,82.390,92.280,60.150,50.950,107.440,36.990,223.120,61.330,14.180,145.870,50.330,70.650,85.400,72.720,40.220,37.630,38.250,58.500,37.650,36.700,24.000,26.800,38.230,34.540,39.940,56.500,39.680,10072.208
2007-02-23,100.290,25.240,70.000,126.410,58.470,39.130,76.680,28.680,16.690,33.830,14.470,48.080,54.800,51.380,49.020,53.900,55.880,35.100,41.830,67.720,6.780,80.580,40.610,145.660,84.710,81.950,90.970,59.650,50.670,107.790,37.120,224.680,61.550,14.530,145.300,50.460,71.030,83.910,72.480,40.040,37.190,38.400,58.650,37.300,36.600,23.980,26.820,38.670,34.390,39.850,56.490,39.830,10074.243
2007-02-26,100.510,25.310,70.260,126.340,58.870,39.110,76.720,28.780,16.690,34.170,14.410,48.180,53.420,51.300,49.240,54.050,56.120,35.100,42.350,68.100,6.820,80.530,40.820,145.530,84.730,81.750,90.380,59.390,50.300,108.230,37.460,225.440,61.670,14.700,145.170,50.900,71.100,83.490,72.380,39.960,37.220,38.750,59.000,37.030,36.390,23.920,26.810,39.590,34.530,39.510,56.600,40.090,10076.278
2007-02-27,100.920,24.830,65.650,121.600,57.900,35.930,73.630,27.480,15.460,32.560,13.550,45.920,49.100,48.030,45.010,51.040,53.460,31.640,39.350,65.410,6.580,77.100,39.470,139.910,81.600,78.050,87.450,57.540,48.580,108.650,36.800,243.000,64.070,14.040,139.500,49.950,67.630,80.900,69.700,37.040,36.130,37.180,56.650,35.300,35.300,23.000,26.200,38.150,33.480,38.150,52.600,38.710,10078.289
2007-02-28,100.860,25.290,66.580,122.660,57.410,36.550,74.180,27.600,15.710,33.030,13.930,46.440,50.450,48.990,45.820,51.950,53.850,33.000,39.900,66.480,6.650,76.950,38.850,141.300,82.370,78.830,88.130,57.790,48.920,108.430,37.620,238.600,63.600,14.120,140.930,51.180,68.370,81.400,70.250,37.780,35.670,37.450,56.900,35.950,35.420,23.050,26.300,38.450,33.680,38.230,54.000,38.660,10080.309
2007-03-01,100.440,25.030,65.620,122.440,57.230,36.300,73.390,27.120,15.470,32.430,13.830,45.780,50.150,48.130,45.430,51.060,53.060,32.190,39.150,65.820,6.590,75.580,39.020,140.800,82.230,78.430,87.580,57.650,48.890,108.020,37.650,240.200,63.750,13.540,140.510,51.240,67.440,80.680,70.050,37.380,35.970,37.060,56.720,35.910,35.280,23.070,26.300,38.650,33.560,38.060,53.670,38.720,10082.325
2007-03-02,100.650,24.800,65.340,120.960,56.540,35.950,72.400,26.830,15.300,32.100,13.590,44.800,49.150,47.720,43.840,50.540,52.360,31.670,37.680,63.710,6.370,74.200,38.120,139.070,81.290,76.800,85.770,57.220,48.650,108.320,37.520,246.720,64.570,12.880,138.670,51.010,66.750,79.400,69.050,36.600,35.100,36.450,56.050,35.500,34.840,22.640,25.890,38.050,33.260,37.780,51.680,37.830,10084.333
2007-03-05,100.590,24.430,63.190,120.300,55.750,35.060,70.900,26.330,14.820,31.510,13.080,44.280,47.940,47.030,42.700,49.920,51.420,30.520,36.920,62.930,6.300,73.220,36.340,137.610,80.120,75.170,82.730,56.200,47.430,108.160,36.530,251.680,65.150,12.550,137.350,49.620,65.600,76.310,68.250,35.550,34.000,35.970,55.400,34.940,34.750,22.690,25.800,37.570,33.090,37.280,50.850,37.170,10086.338
2007-03-06,100.520,24.660,65.750,122.060,57.120,36.580,73.100,27.000,15.460,32.210,13.590,45.840,49.950,49.150,45.430,51.040,52.880,32.130,38.080,64.150,6.430,74.750,37.090,140.030,81.550,77.070,85.580,57.330,48.480,107.750,36.950,243.200,64.090,12.900,139.700,50.320,67.390,79.110,69.400,37.250,34.520,36.700,56.450,35.670,35.150,23.040,26.000,38.130,33.440,37.920,52.710,37.860,10088.351
2007-03-07,100.600,25.000,65.920,122.000,56.930,36.330,73.120,27.060,15.380,32.120,13.430,45.940,49.190,48.600,44.960,51.030,52.780,31.770,38.090,64.300,6.440,74.220,37.200,139.750,81.440,76.970,84.360,56.860,48.120,107.850,37.680,244.160,64.220,12.900,139.560,51.290,67.650,78.000,69.340,36.880,34.690,36.520,57.150,35.460,35.010,22.750,25.900,38.050,33.450,37.880,52.900,38.530,10090.357
2007-03-08,100.510,25.040,67.160,122.800,57.770,37.220,73.980,27.470,15.570,32.480,13.720,46.280,50.730,49.690,45.850,51.680,53.320,32.830,38.350,64.480,6.460,74.560,37.690,141.000,82.020,78.010,85.710,57.260,48.390,107.990,37.570,241.000,63.780,12.920,140.740,51.290,67.990,79.250,69.920,37.620,35.050,36.880,57.650,35.780,35.270,22.940,26.140,38.250,33.560,38.180,53.790,38.480,10092.355
2007-03-09,100.230,24.710,67.410,122.990,57.490,37.360,74.100,27.470,15.840,32.450,13.620,46.680,51.300,49.320,46.640,51.780,53.490,32.720,38.030,64.250,6.440,74.440,37.410,141.000,82.150,78.260,86.760,57.320,48.510,107.710,36.710,239.800,63.770,12.860,140.780,50.110,68.310,80.300,69.950,37.740,34.950,37.310,57.400,35.870,35.450,23.000,26.220,38.200,33.630,38.260,54.290,38.560,10094.357
2007-03-12,100.540,24.480,68.090,123.150,58.020,37.650,74.570,27.680,15.850,32.460,13.840,46.540,51.490,50.320,46.820,52.010,53.610,33.240,38.650,64.370,6.450,74.800,36.200,141.320,82.270,78.400,87.200,57.200,48.410,107.940,36.070,239.800,63.650,12.950,140.990,49.350,68.570,80.700,70.140,38.120,34.150,37.430,57.320,35.870,35.620,23.140,26.250,38.630,33.630,38.210,54.250,38.360,10096.360
2007-03-13,100.800,24.290,66.350,121.020,56.850,36.330,72.800,26.980,15.350,31.730,13.460,45.620,49.600,48.620,45.010,50.500,52.200,31.830,37.150,63.720,6.380,73.370,34.820,138.570,80.560,76.390,84.900,55.380,46.880,108.000,35.780,248.680,64.980,12.690,138.250,48.940,66.870,78.800,68.880,36.560,32.960,36.520,56.550,34.800,35.020,22.770,25.750,38.060,33.080,37.510,52.350,38.000,10098.355
2007-03-14,100.680,24.340,66.630,121.660,56.220,36.750,72.830,27.000,15.580,31.920,13.600,45.620,50.500,49.350,45.830,50.980,52.360,32.550,37.360,63.940,6.410,73.450,35.910,139.640,81.090,77.250,85.300,55.640,47.050,107.900,35.880,245.200,64.300,12.800,139.280,49.140,67.120,79.180,69.220,37.240,33.790,36.750,57.200,34.880,35.160,22.980,25.800,38.250,33.210,37.440,53.490,38.530,10100.342
2007-03-15,100.570,24.190,66.840,121.790,56.630,37.050,73.160,27.160,15.520,32.000,13.760,45.820,50.710,49.660,45.890,51.120,52.610,32.630,38.240,63.980,6.410,73.650,36.430,139.750,81.480,77.800,85.940,56.200,47.930,107.920,35.510,244.080,64.270,12.930,139.470,48.670,67.390,79.890,69.500,37.620,34.030,37.450,57.190,35.300,35.200,22.990,26.130,38.740,33.290,37.520,54.230,38.410,10102.326
2007-03-16,100.580,24.250,67.040,121.050,56.540,36.710,73.250,27.320,15.370,32.150,13.670,46.000,50.050,49.340,45.360,51.380,52.820,32.300,38.360,64.620,6.470,72.980,36.210,139.330,80.990,77.370,85.460,55.620,47.450,107.500,35.320,246.080,64.580,13.090,138.530,48.420,67.620,79.000,69.200,37.300,33.680,37.100,56.390,35.020,35.250,22.950,25.930,38.400,33.200,37.320,53.740,38.050,10104.306
2007-03-19,100.510,24.370,67.830,122.280,57.090,37.560,74.380,27.700,15.750,32.520,13.910,46.460,51.370,50.360,46.330,52.180,53.650,33.340,38.850,64.740,6.490,73.650,36.410,141.030,82.040,78.250,86.320,56.190,47.700,107.300,35.560,240.520,63.840,13.100,140.200,48.700,68.470,79.790,69.990,38.020,34.000,37.650,57.290,35.250,35.500,23.100,26.100,38.680,33.460,37.870,54.860,38.810,10106.298
2007-03-20,100.610,24.400,68.400,122.820,57.500,37.750,75.010,27.940,15.800,32.620,13.920,47.260,51.750,50.410,47.240,52.560,54.110,33.640,39.220,65.270,6.520,74.270,36.250,141.800,82.590,78.840,86.600,56.670,48.150,107.590,35.390,237.720,63.470,13.260,140.970,48.460,69.250,80.110,70.450,38.380,33.950,37.810,57.700,35.570,35.590,23.250,26.350,39.240,33.630,38.150,55.140,39.100,10108.287
2007-03-21,100.740,24.440,70.640,124.290,58.280,38.920,76.610,28.550,16.180,33.540,14.230,48.440,53.800,51.690,49.020,54.000,55.310,34.440,40.110,65.820,6.580,75.590,37.570,144.120,84.020,80.340,87.820,58.010,49.220,107.910,35.590,230.560,62.430,13.320,143.290,48.800,71.020,81.080,71.580,39.480,35.090,38.240,58.740,36.380,36.080,23.720,26.600,39.700,33.970,38.750,56.480,39.740,10110.273
2007-03-22,100.550,24.840,69.960,124.450,58.350,38.750,76.320,28.560,16.120,33.460,14.050,47.960,53.950,50.650,48.710,53.700,55.270,33.990,39.970,65.760,6.580,75.750,37.070,144.120,84.170,80.270,87.750,57.570,49.000,107.610,36.620,229.720,62.340,13.390,143.180,50.180,70.590,81.160,71.620,39.290,34.670,38.060,59.920,36.160,36.150,23.630,26.730,39.660,34.090,38.640,56.660,40.360,10112.262
2007-03-23,100.410,24.850,69.860,124.690,58.290,38.970,76.500,28.680,16.080,33.730,14.170,48.280,53.870,50.660,48.950,54.000,55.580,34.280,39.830,65.150,6.520,75.700,36.820,144.320,83.850,80.240,87.050,57.630,49.120,107.330,36.920,229.240,62.330,13.120,143.390,50.570,70.910,81.210,71.760,39.370,34.700,38.220,60.220,36.200,36.360,23.570,26.790,39.850,33.920,38.660,56.860,40.530,10114.261
2007-03-26,100.350,24.960,70.390,124.360,57.840,38.840,76.530,28.660,16.230,33.710,14.150,48.480,53.720,50.620,49.230,54.040,55.510,34.300,40.140,65.840,6.590,75.340,36.070,143.420,83.810,80.020,85.700,57.420,48.920,107.530,37.370,229.720,62.390,13.330,143.200,51.170,71.080,79.450,71.330,39.350,34.170,38.490,60.640,36.020,36.060,23.600,26.600,40.020,33.970,38.470,57.480,40.820,10116.255
2007-03-27,100.370,25.030,70.040,123.890,57.450,38.740,76.190,28.740,16.030,33.530,14.000,48.140,53.500,50.180,48.510,53.840,55.360,34.070,39.450,65.700,6.580,75.050,35.490,142.990,83.500,79.630,84.990,57.070,48.480,107.510,37.380,230.040,62.290,13.190,142.860,51.200,70.680,78.620,71.040,39.140,33.610,38.070,60.750,35.800,35.890,23.610,26.480,39.960,33.730,38.230,56.840,40.810,10118.250
2007-03-28,100.420,25.270,69.360,123.000,57.220,38.130,75.520,28.340,15.930,33.330,13.720,47.720,53.150,49.750,47.720,53.310,54.850,33.740,39.640,66.050,6.620,74.750,34.500,142.040,82.900,79.220,84.000,56.410,48.020,107.440,37.950,233.800,62.600,13.330,141.820,52.000,69.940,78.100,70.580,38.790,32.650,37.690,60.740,35.350,35.600,23.340,26.430,39.880,33.500,37.800,56.470,40.780,10120.241
2007-03-29,100.350,25.760,70.010,123.300,57.450,38.800,76.180,28.790,16.120,33.690,13.930,48.120,54.550,50.870,49.320,53.500,55.610,34.710,39.450,65.650,6.570,75.030,34.490,142.180,83.170,79.180,84.450,56.860,48.260,107.310,39.240,233.480,62.610,13.250,141.970,53.620,70.790,78.230,70.780,39.540,32.700,37.980,61.120,35.530,35.590,23.370,26.580,40.110,33.660,37.930,57.330,40.980,10122.229
